release_1_filename,subject_id,video_id,filename,comments
00240001_GX030022-11.25.2023_11.20.2023-11.26.2023_2023-11-25-21:22:37,00240001,GX030022-11.25.2023,00240001_GX030022_11.20.2023-11.26.2023_11.25.2023-8:56am,
00240001_GX020024-11.26.23_11.20.2023-11.26.2023_2023-11-27-03:08:43,00240001,GX020024-11.26.23,00240001_GX020024_11.20.2023-11.26.2023_11.26.2023-3:54pm,
00240001_GX020027-12.02.23_11.27.2023-12.03.2023_2023-12-03-23:05:26,00240001,GX020027-12.02.23,00240001_GX020027_11.27.2023-12.03.2023_12.02.2023-NA,
00240001_GX020049-04.28.24_04.22.2024-04.28.2024_2024-04-29-04:49:49,00240001,GX020049-04.28.24,00240001_GX020049_04.22.2024-04.28.2024_04.28.2024-7/34pm,
00270001_H08M26S10_06.05.2023-06.11.2023_06.11.2023-NA,00270001,H08M26S10,NA,Luna
00270001_H07M55S46_06.26.2023-07.02.2023_06.30.2023-NA,00270001,H07M55S46,NA,Luna
00270001_H10M09S52_07.10.2023-07.16.2023_07.13.2023-NA,00270001,H10M09S52,NA,Luna
00270001_H17M54S56_08.14.2023-08.20.2023_08.15.2023-NA,00270001,H17M54S56,NA,Luna
00270001_H16M49S12_08.21.2023-08.27.2023_08.22.2023-NA,00270001,H16M49S12,NA,Luna
00270001_H08M59S28_11.13.2023-11.19.2023_11.16.2023-NA,00270001,H08M59S28,NA,Luna
00270001_H19M48S12_01.01.2024-01.07.2024_01.05.2024-NA,00270001,H19M48S12,NA,Luna
00270001_H18M45S06_01.08.2024-01.14.2024_01.10.2024-NA,00270001,H18M45S06,NA,Luna
00270001_H20M14S08_02.19.2024-02.25.2024_02.23.2024-NA,00270001,H20M14S08,NA,Luna
00320001_GX020052_2_04.08.2024-04.14.2024_04.14.2024-7:10pm,00320001,GX020052,00320001_GX020052_2_04.08.2024-04.14.2024_04.14.2024-7:10pm,
00400001_GX040048_2_08.07.2023-08.13.2023_08.08.2023-9:00am,00400001,GX040048,00400001_GX040048_2_08.07.2023-08.13.2023_08.08.2023-9:00am,
00400001_GX020090_1_10.09.2023-10.15.2023_10.09.2023-5:32pm,00400001,GX020090,00400001_GX020090_1_10.09.2023-10.15.2023_10.09.2023-5:32pm,
00400001_GX020090_2_10.09.2023-10.15.2023_10.11.2023-8:51am,00400001,GX020090,00400001_GX020090_2_10.09.2023-10.15.2023_10.11.2023-8:51am,
00490001_GX010014_01.29.2024-02.04.2024_2024-02-09-04:42:00,00490001,GX010014,NA,"Video was in original dataset, but not in tracking sheet or GCP or CCN"
00560001_GX020132_01.01.2024-01.07.2024_2024-01-18-06:48:58,00560001,GX020132,NA,"Video was in original dataset, but not in tracking sheet or GCP or CCN"